id,title,genres,averageRating,numVotes,releaseYear
tt3530232,Last Week Tonight with John Oliver,"Comedy, News, Talk-Show",8.8,98220,2014
tt0112130,Pride and Prejudice,"Drama, Romance",8.8,95339,1995
tt0121220,Dragon Ball Z,"Action, Adventure, Animation",8.8,91923,1989
tt10233448,Vinland Saga,"Action, Adventure, Animation",8.8,86054,2019
tt0063929,Monty Python's Flying Circus,Comedy,8.8,80745,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,78335,2011
tt0353049,Chappelle's Show,"Comedy, Music",8.8,74163,2003
tt0096548,Blackadder Goes Forth,"Comedy, War",8.8,58782,1989
tt16026746,X-Men '97,"Action, Adventure, Animation",8.8,38354,2024
tt0081834,Das Boot,"Drama, War",8.8,34784,1985
tt1795096,Behzat Ç: An Ankara Detective Story,"Crime, Drama, Mystery",8.8,33927,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33092,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,20241,1976
tt15295490,Campus Diaries,"Comedy, Drama, Romance",8.8,17383,2022
tt22727518,Another Love,"Crime, Drama, Romance",8.8,17231,2023
tt11007006,Azize,Drama,8.8,15558,2019
tt7621364,Black Pearl,Drama,8.8,14783,2017
tt9566030,Pew News,"Comedy, News",8.8,14778,2018
tt6108262,Black Sun,"Crime, Drama, Thriller",8.8,12820,2017
tt13661118,Not Me,"Action, Crime, Romance",8.8,12253,2021
tt0481256,Fighting Spirit,"Action, Animation, Comedy",8.8,11836,2000
tt4574334,Stranger Things,"Drama, Fantasy, Horror",8.7,1396755,2016
tt1190634,The Boys,"Action, Comedy, Crime",8.7,738708,2019
tt2442560,Peaky Blinders,"Crime, Drama",8.7,684317,2013
tt2085059,Black Mirror,"Crime, Drama, Mystery",8.7,662607,2011
tt3581920,The Last of Us,"Action, Adventure, Drama",8.7,582743,2023
tt0412142,House,"Drama, Mystery",8.7,538593,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,486268,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,469146,2017
tt0096697,The Simpsons,"Animation, Comedy",8.7,445773,1989
tt0121955,South Park,"Animation, Comedy",8.7,414980,1997
tt0367279,Arrested Development,Comedy,8.7,330192,2003
tt0804503,Mad Men,Drama,8.7,268271,2007
